,sub_chapter,summarization
77,8.11,"Chapter 8.11:  Summary and Links In this chapter we introduced the discrete Fourier transform (DFT) and discrete-time Fourier transform (DTFT), and we have shown how these concepts can be useful in computing spectrum representations of signals and for understanding the behavior of linear systems. We showed how the DFT can be derived from the Fourier series integral for continuous-time periodic signals, and we showed how the DFT could be used in a variety of ways. We also showed the relationship between the DFT and the DTFT and illustrated how the DTFT can simplify the solution of problems involving linear time-invariant systems. In subsequent chapters, we will see how the DFT and DTFT are related to yet another transform called the -transform."
78,8.2,"Chapter 8.2: EXAMPLE:  Short-Length DFT In order to compute the 4-point DFT of the sequence, we carry out the sum four times, once for each value of. EXAMPLE:  Short-Length IDFT The 4-point DFT in Example ※ is the sequence. ※. The peak value is, and it is the only nonzero value in the DFT. Magnitude of DFT coefficients for a 20-pt."
79,8.4,"Chapter 8.4: That is, the sequence can be reconstructed exactly from samples of its DTFT if it is a finite length- sequence. (c) Time-shifted periodic sequence which is also equal to the IDFT of. (c) Time-shifted periodic sequence corresponding to. That is, is an -point sequence and is an -point sequence. The IDFT of is periodic with period as we have already seen. We have shown that the DFT of is."
80,8.5,"Chapter 8.5:  Table of Discrete Fourier Transform Properties and Pairs 	 	 In this chapter, we have derived a number of useful transform pairs, and we have also derived several important properties of discrete Fourier transforms. Table~※ on p.~ includes the discrete Fourier transform pairs that we have derived in this section. Basic discrete Fourier transform pairs. Some of the properties in Table~※ have not been discussed in this chapter. Basic discrete Fourier transform properties."
81,8.6,"Chapter 8.6: ※. ※. ※. Its period is also, and this is the shortest integer period. Its period is also, and this is the shortest period. view of sampling a periodic signal. } We know from Chapter ※ that the spectrum of a sampled signal is periodic in with a period of. view of sampling a periodic signal. } We know from Chapter ※ that the spectrum of a sampled signal is periodic in with a period of."
82,8.7,"Chapter 8.7: DFT spectrum. interval taken for analysis, (b) DFT magnitude spectrum, (c) DFT phase spectrum. DFT of in. DFT spectrum. interval taken for analysis, (b) DFT magnitude spectrum, (c) DFT phase spectrum. DFT."
83,8.8,"Chapter 8.8: The window is zero for and. DTFT of Windows Windows are used often in spectrum analysis because they have desirable properties in the frequency domain. Figure~※(a) shows plots of the magnitude of the DTFT for two Hann filters with lengths and. DTFT of two Hann windows; length (colored lines), and length (black/gray lines) (a) as computed by 1024-point FFT with zero padding and (b) as plotted with DFT values reordered to place in the middle. Figure~※(b) shows that the DTFT of the Hann window is concentrated near. DTFT of windowed sinusoid via 1000-pt. DFT for (a) rectangular window (peak heights are 20), and (b) Hann window (peak heights are 10.25). DFT for (a) Hann window scaled by, and (b) Hann window scaled by."
84,8.9,"Chapter 8.9: (a) Window length. (b) Window length. The window length is in Fig.~※(a) and in Fig.~※(b). (a) Window length. (b) Window length. (a) Hann window length, time index."
85,9.0,"Chapter 9.0: We will show that FIR convolution is equivalent to polynomial multiplication and that common algebraic operations, such as multiplying, dividing, and factoring polynomials, can be interpreted as combining or decomposing LTI systems. We will use the FIR case to introduce the important concept of “domains of representation” for discrete-time signals and systems. In this text, we consider three domains of representation of signals and systems: the -domain or time domain (the domain of sequences, impulse responses and difference equations), the -domain or frequency domain (the domain of frequency responses and spectrum representations), and the -domain (the domain of -transforms, operators, and poles and zeros). The value of having three different domains of representation is that a difficult analysis in one domain is often much easier in one of the other domains. The -domain exists primarily for its convenience in mathematical analysis and synthesis."
86,9.1,"Chapter 9.1: When we use to determine the -transform of the signal, we transform into a new representation. Thus, we say that represents the signal in the -domain. Similarly, note that is the independent variable of the -transform. Thus, we say that represents the signal in the -domain, and in taking the -transform of a signal, we move from the time domain to the -domain. As a simple, but very important, example of a -transform pair, suppose that."
87,9.2,"Chapter 9.2: It is called the system function of the FIR filter. In Chapter ※, it will be shown that it applies to any LTI system, not just FIR filters. The system function is a function of the complex variable. EXAMPLE:  Zeros of System Function Consider the FIR filter The -transform system function is Thus, the zeros of are and."
88,9.3,"Chapter 9.3: In Section ※ we showed that the -transform arises naturally out of the convolution of the impulse-response sequence with a sequence. The Superposition Property of the z-Transform The -transform is a linear transformation. In general, for any finite-length sequence, multiplication of the -transform polynomial by simply subtracts one from each exponent in the polynomial, thereby creating a delay of one. The general result is A General z-Transform Formula So far, we have defined the -transform only for finite-length signals."
89,9.4,"Chapter 9.4: To see how this interpretation comes about, we will consider the system function of the unit-delay system. Unit-Delay Operator The unit-delay system is one of the basic building blocks for the FIR difference equation. Operator Notation Consider a system that calculates the first difference of two successive signal values: The -transform operator that represents the first-difference system is, because we can write the “operator” equation This equation has the following interpretation: The operator “1” leaves unchanged, and the operator delays before subtracting it from. Derive the -transform operator for the first-difference system by working the input through the system. Operator Notation in Block Diagrams The delay operator concept is particularly useful in block diagrams of LTI systems."
90,9.5,"Chapter 9.5: An important example is the cascade connection of two or more LTI systems. Cascade of two LTI systems. The output of the first system is the input to the second system, and the overall output is the output of the second system. Is it possible to find so that the overall system has its output equal to the input?"
91,9.6,"Chapter 9.6: The complex -plane including the unit circle, where. The system function determines the difference equation of the filter because the polynomial coefficients of are the coefficients of the difference equation. As we have shown in, the frequency response is obtained by evaluating the system function on the unit circle of the -plane. The system in this case is an 11-point running sum; i.e., it is an FIR filter where the coefficients are all equal to one. The system function for this filter is In Section ※ we will show that the zeros of the system function of this filter are on the unit circle at angles, for. These are the values along the unit circle in the -plane. These are the values along the unit circle in the -plane."
92,9.7,"Chapter 9.7: This explains why we have only nine zeros around the unit circle with the gap at. A Complex Bandpass Filter Now we have a new insight that tells us how to control the frequency response of an FIR filter by placing its zeros on the unit circle. One idea is to view the zero distribution in Fig.~※ as a rotation of the zeros of the running-sum filter in Fig.~※. As is the case with any real-valued filter, the magnitude of the frequency response exhibits a symmetry about."
93,9.8,"Chapter 9.8: An example is shown in Figs.~※, ※, and ※ for a length–24 FIR bandpass filter. The impulse response of the 24-point FIR bandpass filter is given in Fig.~※. Filter coefficients of 24-point FIR bandpass. These groups of four zeros are strategically placed by the design process to form the passband of the filter."
94,9.9,"Chapter 9.9: The Linear-Phase Condition FIR systems that have symmetric filter coefficients (and, therefore, symmetric impulse responses) have frequency responses with linear phase. These properties can be shown to be true in general for linear-phase filters. The conjugate zeros are included because the filter coefficients, which are also the coefficients of, are real. The inverse property is true because the filter coefficients are symmetric."
95,10.0,"Chapter 10.0:  CHAPTER 10 IIR Filters This chapter introduces a new class of LTI systems that have infinite duration impulse responses. For this reason, systems of this class are often called infinite-impulse-response (IIR) systems or also IIR filters. In contrast to FIR filters, IIR digital filters involve previously computed values of the output signal as well as values of the input signal in the computation of the present output. The -transform system functions for IIR filters are rational functions that have both poles and zeros at nonzero locations in the -plane. Just as for the FIR case, we will show that many insights into the important properties of IIR filters can be obtained directly from the pole-zero representation."
96,10.1,"Chapter 10.1: Frequency Response of Second-Order IIR Filter Since the frequency response of a stable system is related to the -transform by we get the following formula for the frequency response of a second-order system: Since contains terms like and, is guaranteed to be a periodic function with a period of. Frequency Response via MATLAB Tedious calculation and plotting of by hand is usually unnecessary if a computer program such as MATLAB is available. For this example, we can look for a connection between the poles and zeros and the shape of the frequency response. For this we have which has its poles at and its zeros at and. Frequency response (magnitude and phase) for a second-order feedback filter. Values along the unit circle are the frequency response (magnitude) for a second-order feedback filter. Then the magnitude of the frequency response is Equation has a simple geometric interpretation."
97,10.11,"Chapter 10.11: Pole-zero plot for a third-order IIR filter. Frequency response (magnitude and phase) for a third-order IIR filter. From or, determine the value of the frequency response at. Impulse response for a third-order IIR filter."
98,10.12,Chapter 10.12: Lab~#11 is devoted to IIR filters. Several different filters are demonstrated. Demo: Three-Domains IIR A movie that animates the relationship between the -plane and the unit circle where the frequency response lies. Demo: PeZ GUI A tutorial on how to use PeZ. Demo: PeZ Tutorial A demo that gives more examples of IIR filters. Demo: IIR Filtering
99,10.2,"Chapter 10.2: Input signal to recursive difference equation. Thus, we will consider computing the output from the difference equation in the order. Output signal from recursive difference equation of for the input of Fig.~※. EXAMPLE:  Impulse Response For the example of with and, the impulse response is } 0 & } This is the impulse response of the system in."
100,10.3,"Chapter 10.3: First-order IIR system showing one feedback coefficient and two feed-forward coefficients and in Direct Form I structure. Recall that the product of two -transform system functions corresponds to the cascade of two systems. First-order IIR system in Direct Form II structure. then the overall system has the same system function as the original system. so we get Thus, because they have the same system function, and are equivalent to the Direct Form I and, and to the Direct Form II and."
101,10.4,"Chapter 10.4: EXAMPLE:  Find Poles and Zeros % The -transform of the feedback filter is easily derived to be When we express in positive powers of we see that there is one pole at and a zero at. EXAMPLE:  Zero at % For the -transform of the feedback filter we can write as The system has one pole at, and if we take the limit of as, we get. Determine the system function of the following feedback filter: Show that has a pole at, as well as. If, the pole of the system function is inside the unit circle of the -plane. EXAMPLE:  Stability from Pole Location The system whose system function is has a zero at and a pole at. Therefore the system is stable."
102,10.5,"Chapter 10.5: This must always be the case for the frequency response of a discrete-time system. Remember that the frequency response is a complex-valued function of frequency. Frequency Response using MATLAB Frequency responses can be computed and plotted easily by many signal processing software packages. Frequency response (magnitude and phase) for a first-order feedback filter. In this example, we can look for a connection between the poles and zeros and the shape of the frequency response. In this case, we can evaluate the frequency response directly from the formula to get Three-Dimensional Plot of a System Function The relationship between and the pole-zero locations of can be illustrated by making a three-dimensional plot of and then cutting out the frequency response. In this section, we use the system function to illustrate the relationship between the system function and the frequency response. Frequency response (magnitude and phase) for a first-order feedback filter."
103,10.6,"Chapter 10.6: It also defines the impulse response. The filter coefficients play a central role. Following the procedures illustrated for the first-order case, we can also define the -transform system function directly from the filter coefficients as and we can also obtain the frequency response Since the system function is a ratio of polynomials, the poles and zeros of make up a small set of parameters that completely define the filter. The inverse -transform is developed in Section ※."
104,10.7,Chapter 10.7: This process is called the inverse -transform. Determine the inverse -transform of to get the output. SHORT TABLE OF -TRANSFORMS 1. A General Procedure for Inverse -Transformation Let be any rational -transform of degree in the denominator and in the numerator.
105,10.8,"Chapter 10.8: This complex exponential component is the sinusoidal steady-state component of the output. Illustration of transient and steady-state responses of an IIR system. (a) total output, (b) decaying transient component, (c) steady-state response. Illustration of an unstable IIR system. Pole is at."
106,10.9,"Chapter 10.9: From the quadratic formula, we get two poles at When, both poles are real; when, they are real and equal. The poles and zeros are The system function can be written in factored form as either of the two forms Since the numerator has no term, we have one zero at the origin. Pole-zero plot for system with. Impulse Response of a Second-Order IIR System We have derived the general -transform system function for the second-order filter and we have seen that the denominator polynomial has two roots that define the poles of the second-order filter. The poles and zeros of are plotted in Fig.~※. The poles are at and ; there are two zeros at. Impulse response for system with. Pole-zero plot for system with. Pole-zero plot for system with."
